subject,mod,metcost
subject01,none,3.209551194
subject01,none,3.124838153
subject02,none,3.681372775
subject02,none,3.32353955
subject04,none,3.468524013
subject04,none,3.266860714
subject18,none,2.862206396
subject18,none,2.941841309
subject19,none,2.999319512
subject19,none,3.128205511
subject01,mrsmod_deviceAp,2.876171039
subject01,mrsmod_deviceAp,2.854107812
subject02,mrsmod_deviceAp,2.886106373
subject02,mrsmod_deviceAp,3.128648655
subject04,mrsmod_deviceAp,3.135705526
subject04,mrsmod_deviceAp,3.238909715
subject18,mrsmod_deviceAp,2.494387343
subject18,mrsmod_deviceAp,2.375723804
subject19,mrsmod_deviceAp,2.678019489
subject19,mrsmod_deviceAp,2.557148157
subject01,mrsmod_deviceHe,2.944721807
subject01,mrsmod_deviceHe,2.986320763
subject02,mrsmod_deviceHe,3.320501824
subject02,mrsmod_deviceHe,3.071419682
subject04,mrsmod_deviceHe,3.021233169
subject04,mrsmod_deviceHe,3.200531242
subject18,mrsmod_deviceHe,2.672730895
subject18,mrsmod_deviceHe,2.722097993
subject19,mrsmod_deviceHe,2.823205836
subject19,mrsmod_deviceHe,2.739194489
subject01,mrsmod_deviceHeKe_coupled,2.784504603
subject01,mrsmod_deviceHeKe_coupled,2.818468787
subject02,mrsmod_deviceHeKe_coupled,3.143278827
subject02,mrsmod_deviceHeKe_coupled,2.878946287
subject04,mrsmod_deviceHeKe_coupled,2.802883995
subject04,mrsmod_deviceHeKe_coupled,3.318014191
subject18,mrsmod_deviceHeKe_coupled,2.634579152
subject18,mrsmod_deviceHeKe_coupled,2.578150067
subject19,mrsmod_deviceHeKe_coupled,2.674891665
subject19,mrsmod_deviceHeKe_coupled,2.573081981
subject01,mrsmod_deviceHeKe_independent,2.721521847
subject01,mrsmod_deviceHeKe_independent,2.772144472
subject02,mrsmod_deviceHeKe_independent,3.025938331
subject02,mrsmod_deviceHeKe_independent,3.11232207
subject04,mrsmod_deviceHeKe_independent,2.950952456
subject04,mrsmod_deviceHeKe_independent,2.729537497
subject18,mrsmod_deviceHeKe_independent,2.578145478
subject18,mrsmod_deviceHeKe_independent,2.497611673
subject19,mrsmod_deviceHeKe_independent,2.568320331
subject19,mrsmod_deviceHeKe_independent,2.681027608
subject01,mrsmod_deviceHf,2.322517255
subject01,mrsmod_deviceHf,2.371227522
subject02,mrsmod_deviceHf,2.817749543
subject02,mrsmod_deviceHf,2.554831053
subject04,mrsmod_deviceHf,2.66290806
subject04,mrsmod_deviceHf,2.740669709
subject18,mrsmod_deviceHf,2.377399429
subject18,mrsmod_deviceHf,2.343535781
subject19,mrsmod_deviceHf,2.483456206
subject19,mrsmod_deviceHf,2.423489255
subject01,mrsmod_deviceHfAp_coupled,2.3372999
subject01,mrsmod_deviceHfAp_coupled,2.036292788
subject02,mrsmod_deviceHfAp_coupled,2.285555805
subject02,mrsmod_deviceHfAp_coupled,2.570793679
subject04,mrsmod_deviceHfAp_coupled,2.518029434
subject04,mrsmod_deviceHfAp_coupled,2.492740117
subject18,mrsmod_deviceHfAp_coupled,2.058905283
subject18,mrsmod_deviceHfAp_coupled,2.13882242
subject19,mrsmod_deviceHfAp_coupled,2.142810265
subject19,mrsmod_deviceHfAp_coupled,2.088495668
subject01,mrsmod_deviceHfAp_independent,2.056316374
subject01,mrsmod_deviceHfAp_independent,1.865136093
subject02,mrsmod_deviceHfAp_independent,2.236078796
subject02,mrsmod_deviceHfAp_independent,2.124920721
subject04,mrsmod_deviceHfAp_independent,2.547768945
subject04,mrsmod_deviceHfAp_independent,2.335761411
subject18,mrsmod_deviceHfAp_independent,2.027008005
subject18,mrsmod_deviceHfAp_independent,2.070211562
