subject,mod,savings
subject01,mrsmod_deviceAp,-8.663819619
subject01,mrsmod_deviceAp,-10.38712689
subject02,mrsmod_deviceAp,-13.16166608
subject02,mrsmod_deviceAp,-15.01407636
subject04,mrsmod_deviceAp,-4.014716237
subject04,mrsmod_deviceAp,-6.619942577
subject18,mrsmod_deviceAp,-15.20999672
subject18,mrsmod_deviceAp,-16.99676838
subject19,mrsmod_deviceAp,-18.2551099
subject19,mrsmod_deviceAp,-10.71243069
subject01,mrsmod_deviceHe,-6.955191481
subject01,mrsmod_deviceHe,-5.76402162
subject02,mrsmod_deviceHe,-9.802619088
subject02,mrsmod_deviceHe,-7.585884406
subject04,mrsmod_deviceHe,-7.7264211
subject04,mrsmod_deviceHe,-7.518763926
subject18,mrsmod_deviceHe,-6.619910467
subject18,mrsmod_deviceHe,-7.469584295
subject19,mrsmod_deviceHe,-8.67280135
subject19,mrsmod_deviceHe,-9.749988404
subject01,mrsmod_deviceHeKe_coupled,-9.804327511
subject01,mrsmod_deviceHeKe_coupled,-13.24317841
subject02,mrsmod_deviceHeKe_coupled,-14.6166656
subject02,mrsmod_deviceHeKe_coupled,-13.37710162
subject04,mrsmod_deviceHeKe_coupled,-14.20252528
subject04,mrsmod_deviceHeKe_coupled,-4.339304622
subject18,mrsmod_deviceHeKe_coupled,-10.44455239
subject18,mrsmod_deviceHeKe_coupled,-9.924383142
subject19,mrsmod_deviceHeKe_coupled,-14.21114122
subject19,mrsmod_deviceHeKe_coupled,-14.49117855
subject01,mrsmod_deviceHeKe_independent,-11.28678235
subject01,mrsmod_deviceHeKe_independent,-15.20553241
subject02,mrsmod_deviceHeKe_independent,-8.954345658
subject02,mrsmod_deviceHeKe_independent,-15.45756813
subject04,mrsmod_deviceHeKe_independent,-16.44769287
subject04,mrsmod_deviceHeKe_independent,-14.92195398
subject18,mrsmod_deviceHeKe_independent,-12.36286369
subject18,mrsmod_deviceHeKe_independent,-12.73824009
subject19,mrsmod_deviceHeKe_independent,-14.29502959
subject19,mrsmod_deviceHeKe_independent,-14.36989888
subject01,mrsmod_deviceHf,-25.67559852
subject01,mrsmod_deviceHf,-26.11965415
subject02,mrsmod_deviceHf,-23.12921166
subject02,mrsmod_deviceHf,-23.45927144
subject04,mrsmod_deviceHf,-20.98455428
subject04,mrsmod_deviceHf,-18.48724837
subject18,mrsmod_deviceHf,-18.12135617
subject18,mrsmod_deviceHf,-19.18668686
subject19,mrsmod_deviceHf,-20.61083591
subject19,mrsmod_deviceHf,-19.19869673
subject01,mrsmod_deviceHfAp_coupled,-27.17673722
subject01,mrsmod_deviceHfAp_coupled,-34.83525584
subject02,mrsmod_deviceHfAp_coupled,-31.23127406
subject02,mrsmod_deviceHfAp_coupled,-30.16752617
subject04,mrsmod_deviceHfAp_coupled,-23.69616167
subject04,mrsmod_deviceHfAp_coupled,-27.40343083
subject18,mrsmod_deviceHfAp_coupled,-30.01304058
subject18,mrsmod_deviceHfAp_coupled,-25.27364823
subject19,mrsmod_deviceHfAp_coupled,-31.50033596
